PRFID,PRFNM,PRFPDFROM,PRFPDTO,D_DAY,PRFCAST,PRFCREW,PRFRUNTIME,PRFAGE,ENTRPSNM,PCSEGUIDANCE,POSTER,RELATES,PLACEID,PLACENM,INFO_URLS,7DAYS RANK,30DAYS RANK,AVG RANK_DESC
PF241301,하데스타운 [서울],2024.07.12,2024.10.06,54,"조형균, 박강현, 김민석, 최정원, 최재림, 강홍석, 김선영 등","박소영, 한정림, 홍유선 등",2시간 35분,만 7세 이상,에스앤코(S&CO),"VIP석 170,000원, R석 140,000원, S석 110,000원, A석 80,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF241301_240517_145643.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1196774'), ('예스24', 'http://ticket.yes24.com/Perf/49701'), ('위메프', 'https://ticket.wemakeprice.com/product/3000012185'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24006851'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=77897'), ('페이북', 'https://paybooc.co.kr/app/paybooc/Culture.do?mFocus=Culture&returnURL=https://ticket.paybooc.co.kr:447/Play/PlayDetail?playNum=70886')]",FC000012,샤롯데씨어터 (샤롯데씨어터),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241301_240517_0256430.jpg'],1.0,1.0,10.0
PF242052,베르사유의 장미,2024.07.16,2024.10.13,61,"옥주현, 김지우, 정유지, 이해준, 김성식, 고은성, 박민성 등","엄홍현, 김지원, 왕용범 등",2시간 30분,만 7세 이상,(주)EMK뮤지컬컴퍼니,"VIP석 170,000원, R석 140,000원, S석 110,000원, A석 80,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242052_240530_132555.gif,"[('멜론티켓', 'https://ticket.melon.com/performance/index.htm?prodId=209927'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24007345')]",FC000014,충무아트센터 (대공연장),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242052_240712_1119241.jpg'],4.0,2.0,9.0
PF240002,프랑켄슈타인,2024.06.05,2024.08.25,12,"유준상, 신성록, 전동석, 박은태, 이해준, 고은성, 이지혜 등","엄홍현, 김지원, 왕용범 등",2시간 55분,만 13세 이상,(주)EMK뮤지컬컴퍼니,"VIP석 170,000원, R석 140,000원, S석 110,000원, A석 80,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF240002_240426_094626.gif,"[('멜론티켓', 'https://ticket.melon.com/performance/index.htm?prodId=209765'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24009024')]",FC000031,블루스퀘어 (신한카드홀(구. 인터파크홀)),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF240002_240426_0946270.jpg'],10.0,3.0,8.0
PF239123,시카고 [서울],2024.06.07,2024.09.29,47,"최정원, 윤공주, 정선아, 아이비, 티파니 영, 민경아, 박건형 등", ,2시간 25분,만 13세 이상, ,"VIP석 160,000원, OP석 150,000원, R석 140,000원, S석 110,000원, A석 80,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF239123_240412_145134.jpg,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1123234'), ('위메프', 'https://ticket.wemakeprice.com/product/3000011918'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24005266'), ('신시컴퍼니', 'http://www.iseensee.com/Home/Perf/MakingDetail.aspx?IdPerf=1190')]",FC000011,디큐브링크아트센터 (디큐브씨어터),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF239123_240415_0814031.jpg'],7.0,4.0,7.0
PF240973,어쩌면 해피엔딩 [대학로],2024.06.18,2024.09.08,26,"정욱진, 홍지희, 윤은오, 박진주, 신재범, 장민제, 이시안 등","김동연, 주소연, 송희진 등",1시간 50분,만 13세 이상,(주)CJ ENM,"R석 77,000원, S석 55,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF240973_240513_151357.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1174706'), ('예스24', 'http://ticket.yes24.com/Perf/49543'), ('위메프', 'https://ticket.wemakeprice.com/product/3000012040'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24006741')]",FC001236,예스24 스테이지(구. DCF대명문화공장) (1관),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF240973_240513_0313570.jpg'],2.0,5.0,6.0
PF241497,젠틀맨스 가이드: 사랑과 살인편,2024.07.06,2024.10.20,68,"송원근, 김범, 손우현, 정산훈, 정문성, 이규형, 안세하 등","김영욱, 이성훈, 송한샘 등",2시간 30분,만 13세 이상,(주)쇼노트,"VIP석 150,000원, OP석 130,000원, R석 130,000원, S석 90,000원, A석 60,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF241497_240522_104224.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1146704'), ('멜론티켓', 'https://ticket.melon.com/performance/index.htm?prodId=209919'), ('쇼노트', 'http://www.shownote.com/Ticket/Performance/Details?performanceId=365'), ('예스24', 'http://ticket.yes24.com/Perf/49795'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24007239'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=77982')]",FC001370,광림아트센터 (BBCH홀),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241497_240522_0352481.jpg'],8.0,6.0,5.0
PF243886,홍련,2024.07.30,2024.08.31,18,"한재아, 김이후, 홍나현, 이아름솔, 김경민, 이지연, 고상호 등","배시현, 박신애, 옥한나 등",1시간 30분,만 13세 이상,(주)마틴엔터테인먼트,"R석 66,000원, S석 55,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243886_240627_102941.gif,"[('대학로티켓닷컴', 'http://www.maketicket.co.kr/ticket/GD25694'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24009039')]",FC000785,대학로 자유극장 (자유문화발전소) (대학로 자유극장 (자유문화발전소)),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243886_240627_1029410.jpg'],6.0,7.0,4.0
PF242932,시데레우스,2024.07.24,2024.10.13,61,"이창용, 안재영, 김지철, 기세중, 정휘, 윤석호, 유낙원 등","신동은, 백승우, 이유정 등",1시간 40분,만 7세 이상,(주)랑,"R석 66,000원, S석 55,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242932_240613_112051.jpg,"[('BC페이북(BC플랫폼)', 'https://ticket.paybooc.co.kr:447/Play/PlayDetail?playNum=70935'), ('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1178225'), ('예스24', 'http://ticket.yes24.com/Perf/50004'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008243'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=78010')]",FC001459,플러스씨어터(구. 컬처스페이스 엔유 구. 쁘티첼 씨어터) (플러스씨어터(구. 컬처스페이스 엔유 구. 쁘티첼 씨어터)),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242932_240613_1120510.jpg'],5.0,8.0,3.0
PF241421,살리에르,2024.07.11,2024.09.21,39,"박규원, 백인태, 유현석, 백형훈, 김준영, 황민수, 유태양 등","한승원, 김종석, 정민아 등",2시간 30분,만 11세 이상,(주)에이치제이컬쳐(HJ컬쳐),"R석 99,000원, S석 77,000원, A석 55,000원, 시야방해석 66,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF241421_240521_094104.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1144616'), ('세종문화회관', 'https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=35252&menuNo=200004'), ('예스24', 'http://ticket.yes24.com/Perf/49727'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24006932'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=77978'), ('페이북', 'https://ticket.paybooc.co.kr:447/Play/PlayDetail?playNum=70891')]",FC000020,세종문화회관 (세종M씨어터),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241421_240521_0941040.jpg'],3.0,9.0,2.0
PF240567,새벽의 입구에서,2024.06.06,2024.09.01,19,"김도빈, 이형훈, 선한국, 조풍래, 최호승, 손유동, 박영수 등","요시다 에리, 강하님, 김지호 등",1시간 40분,만 13세 이상,골든에이지컴퍼니,"R석 66,000원, S석 55,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF240567_240507_140637.jpg,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1135236'), ('위메프', 'https://ticket.wemakeprice.com/product/3000012053'), ('타임티켓', 'https://www.timeticket.co.kr/?number=5791'), ('티켓링크', 'http://www.ticketlink.co.kr/product/49932')]",FC001877,서경대학교 공연예술센터 (스콘2관),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF240567_240507_0205310.jpg'],,10.0,1.0
