PRFID,AWARDS,GENRENM,PRFSTATE
PF247773,,뮤지컬,공연중
PF247626,,뮤지컬,공연중
PF247317,,뮤지컬,공연중
PF247292,,뮤지컬,공연중
PF247289,,뮤지컬,공연중
PF247112,,뮤지컬,공연중
PF247068,,뮤지컬,공연중
PF247018,,뮤지컬,공연중
PF246841,,뮤지컬,공연중
PF246573,,뮤지컬,공연중
PF246145,,뮤지컬,공연중
PF246143,,뮤지컬,공연중
PF246091,,뮤지컬,공연중
PF245916,,뮤지컬,공연중
PF245889,,뮤지컬,공연중
PF245875,,뮤지컬,공연중
PF245791,,뮤지컬,공연중
PF245687,,뮤지컬,공연중
PF245679,,뮤지컬,공연중
PF245638,,뮤지컬,공연중
PF245605,,뮤지컬,공연중
PF245475,,뮤지컬,공연중
PF245269,,뮤지컬,공연중
PF245145,,뮤지컬,공연중
PF245054,,뮤지컬,공연중
PF244972,,뮤지컬,공연중
PF244959,,뮤지컬,공연중
PF244572,,뮤지컬,공연중
PF244566,,뮤지컬,공연중
PF244525,,뮤지컬,공연중
PF244405,,뮤지컬,공연중
PF244366,,뮤지컬,공연중
PF244233,,뮤지컬,공연중
PF243956,,뮤지컬,공연중
PF243924,,뮤지컬,공연중
PF243920,,뮤지컬,공연중
PF243842,,뮤지컬,공연중
PF243768,,뮤지컬,공연중
PF243763,제8회 한국뮤지컬어워즈 작품상<br>제8회 한국뮤지컬어워즈 음악상<br>제8회 한국뮤지컬어워즈 대상<br>제8회 한국뮤지컬어워즈 극본상<br>제17회 DIMF(대구국제뮤지컬페스티벌) 여우조연상<br>제17회 DIMF(대구국제뮤지컬페스티벌) 아성 크리에이터상<br>제17회 DIMF(대구국제뮤지컬페스티벌) 여우주연상 노미네이트,뮤지컬,공연중
PF243627,,뮤지컬,공연중
PF243611,제6회 예그린뮤지컬어워드 남우주연상<br>제4회 더뮤지컬어워즈 6관왕<br>제1회 예그린뮤지컬어워드 5관왕<br>제16회 한국뮤지컬대상 6관왕,뮤지컬,공연중
PF243362,,뮤지컬,공연중
PF243185,,뮤지컬,공연중
PF243081,제6회 한국뮤지컬어워즈 극본상<br>제6회 한국뮤지컬어워즈 작곡상 노미네이트,뮤지컬,공연중
PF243023,,뮤지컬,공연중
PF242984,,뮤지컬,공연중
PF242932,,뮤지컬,공연중
PF242880,,뮤지컬,공연중
PF242836,,뮤지컬,공연중
PF242687,,뮤지컬,공연중
PF242669,,뮤지컬,공연중
PF242666,,뮤지컬,공연중
PF242642,,뮤지컬,공연중
PF242396,,뮤지컬,공연중
PF242395,,뮤지컬,공연중
PF242388,,뮤지컬,공연중
PF242052,,뮤지컬,공연중
PF241845,,뮤지컬,공연중
PF241497,,뮤지컬,공연중
PF241421,,뮤지컬,공연중
PF241385,,뮤지컬,공연중
PF241301,제6회 2022 한국뮤지컬어워즈 대상<br>제6회 2022 한국뮤지컬어워즈 남자주연상<br>제6회 2022 한국뮤지컬어워즈 여자조연상<br>제62회 2020 그래미어워드 최고 뮤지컬 앨범상<br>2019 외부비평가상 작곡상<br>2019 외부비평가상 여우조연상<br>2019 외부비평가상 남우조연상<br>2019 외부비평가상 최우수신작<br>2019 외부비평가상 연출상<br>2019 외부비평가상 조명디자인상<br>제85회 2019 드라마리그어워드 최우수 뮤지컬 작품상<br>제73회 2019 토니어워드(Tony Awords) 음향상<br>제73회 2019 토니어워드(Tony Awords) 조명디자인상<br>제73회 2019 토니어워드(Tony Awords) 무대디자인상<br>제73회 2019 토니어워드(Tony Awords) 남우조연상<br>제73회 2019 토니어워드(Tony Awords) 연출상<br>제73회 2019 토니어워드(Tony Awords) 음악상<br>제73회 2019 토니어워드(Tony Awords) 최우수작품상<br>제73회 2019 토니어워드(Tony Awords) 편곡상<br>제64회 2019 드라마 데스크 어워드 연출상<br>제64회 2019 드라마 데스크 어워드 남우조연상<br>제64회 2019 드라마 데스크 어워드 조명디자인상<br>제64회 2019 드라마 데스크 어워드 음향상,뮤지컬,공연중
PF241277,,뮤지컬,공연중
PF240973,,뮤지컬,공연중
PF240807,,뮤지컬,공연중
