PRFID,PRFNM,PRFPDFROM,PRFPDTO,PRFCAST,PRFCREW,PRFRUNTIME,PRFAGE,ENTRPSNM,PCSEGUIDANCE,POSTER,RELATES,PLACEID,PLACENM,INFO URLS
PF242787,콩쥐팥쥐 [광명],2024.06.22,2024.08.11,"송미리, 이연우, 김미현, 안지오","정현수, 백형구, 정호준 등",50분,전체 관람가,(주) 소나무(소나무예술극장),"전석 16,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242787_240612_092938.jpg,"[('네이버N예약', 'https://booking.naver.com/booking/5/bizes/563361')]",FC001130,소나무예술극장 (공연장),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242787_240612_0929380.jpg']
PF242726,고릴라 [김포],2024.08.07,2024.08.17, ,"이장환, 한유승, 신반석 등",50분,전체 관람가, ,"전석 32,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242726_240611_095844.png,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1124488')]",FC002017,김포한강괜찮은홀 (김포한강괜찮은홀),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242726_240611_0958441.png', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242726_240611_0958440.jpg']"
PF242666,페인터즈 [서대문전용관],2024.06.05,2024.08.31, , ,1시간 15분,전체 관람가,(주)펜타토닉,"VIP석 70,000원, R석 50,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242666_240805_155829.jpg,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/942356'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24007854'), ('타임티켓', 'https://www.timeticket.co.kr/?number=5694'), ('티켓링크', 'http://www.ticketlink.co.kr/product/50505')]",FC000576,NH아트홀 (NH아트홀),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242666_240610_0246120.jpg']
PF242519,엄마까투리는 슈퍼맘 [천안],2024.08.10,2024.08.11, ,"김종해, 강노아, 김응완 등",1시간 05분,24개월 이상,(주)이에스생활문화 (ES생활문화),"전석 60,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242519_240607_151851.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1172237'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24007899')]",FC000437,천안시성환문화회관 (대공연장),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242519_240607_0318510.jpg']
PF242456,아이위시 [서울],2024.07.05,2024.08.31,"정호준, 김초하, 오주언, 박현수","이석준, 류찬, 이현정 등",1시간 30분,만 13세 이상, ,"전석 44,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242456_240607_122831.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1185254'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24007986'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=77968')]",FC002037,연남장 (연남장),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242456_240807_0240501.jpg']
PF242455,"연남장 캬바레, 오늘 처음 만드는 뮤지컬 [서울]",2024.07.05,2024.08.31,"한세라, 김지훈, 이정수, 김승용, 박은미, 정다희, 장우성 등","김태형, 허안, 최수정 등",1시간 30분,만 13세 이상, ,"전석 44,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242455_240607_121736.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1185254'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24007991'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=77983')]",FC002037,연남장 (연남장),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242455_240607_1217360.jpg']
PF242396,사의찬미 [대학로],2024.07.02,2024.09.22,"주민진, 진태화, 임준혁, 홍승안, 최연우, 김려원, 이정화 등","송은도, 성종완, 김은영 등",1시간 50분,만 12세 이상,(주)네오,"R석 77,000원, S석 66,000원, A석 55,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242396_240605_135503.jpg,"[('대학로티켓닷컴', 'http://www.maketicket.co.kr/ticket/GD25513'), ('예스24', 'http://ticket.yes24.com/Perf/49911'), ('위메프', 'https://ticket.wemakeprice.com/product/3000012222')]",FC003244,링크아트센터 (페이코홀),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242396_240605_0155030.jpg']
PF242395,박열 [대학로],2024.07.16,2024.09.29,"손유동, 현석준, 백기범, 이정화, 박새힘, 최지혜, 문경초 등","김수로, 김보람, 성종완 등",1시간 40분,만 13세 이상,(주)더블케이 필름 앤 씨어터 (더블케이엔터테인먼트),"전석 66,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242395_240605_134104.gif,"[('위메프', 'https://ticket.wemakeprice.com/product/3000012153'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24007631'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=77924')]",FC001528,링크아트센터드림 (드림 3관),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242395_240605_0141040.jpg']
PF242371,로보카폴리: 잡아라! 황금트로피! [대구],2024.08.03,2024.08.15, , ,1시간 05분,24개월 이상, ,"전석 66,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242371_240605_114647.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1172264'), ('예스24', 'http://ticket.yes24.com/Perf/49921'), ('위메프', 'https://ticket.wemakeprice.com/product/3000012086'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24007858')]",FC001613,신세계 문화홀 8층 [대구] (신세계 문화홀 8층 [대구]),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242371_240605_1146470.jpg']
PF242265,조선 이야기꾼 전기수,2024.07.27,2024.08.25,"박혜원, 노혜성, 박한들, 김하준, 노현창, 신재성, 전재광 등","한승원, 황미주, 양지해 등",1시간 30분,만 7세 이상,"(주)에이치제이컬쳐(HJ컬쳐), EBS미디어(주), 에이치제이키즈(주)","OP석 88,000원, R석 88,000원, S석 66,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242265_240604_092742.jpg,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1176927'), ('예스24', 'http://ticket.yes24.com/Perf/49904'), ('위메프', 'https://ticket.wemakeprice.com/product/3000012090'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24007639'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=77951'), ('티몬', 'www.tmon.co.kr/deal/27065522546')]",FC000788,마포아트센터 (아트홀맥),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242265_240711_0206081.jpg']
PF242231,"헬로카봇 시즌8, 미래연구소를 지켜라!",2024.07.27,2024.08.18, , ,1시간 05분,24개월 이상, ,"R석 70,000원, S석 60,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242231_240603_134919.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1157358'), ('위메프', 'https://ticket.wemakeprice.com/product/3000012093'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24007646')]",FC000062,백암아트홀 (백암아트홀),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242231_240603_0149190.jpg']
PF242052,베르사유의 장미,2024.07.16,2024.10.13,"옥주현, 김지우, 정유지, 이해준, 김성식, 고은성, 박민성 등","엄홍현, 김지원, 왕용범 등",2시간 30분,만 7세 이상,(주)EMK뮤지컬컴퍼니,"VIP석 170,000원, R석 140,000원, S석 110,000원, A석 80,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242052_240530_132555.gif,"[('멜론티켓', 'https://ticket.melon.com/performance/index.htm?prodId=209927'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24007345')]",FC000014,충무아트센터 (대공연장),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242052_240712_1119241.jpg']
PF242005,엄마는 안 가르쳐 줘,2024.07.18,2024.08.17,"지근우, 임혁빈, 배혜미, 이다희, 이유진, 김정식, 박성현 등","김나영, 홍경숙, 노혜란 등",50분,36개월 이상, ,"전석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242005_240530_100648.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/927422'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24007573'), ('타임티켓', 'https://www.timeticket.co.kr/?number=5707'), ('티몬', 'www.tmon.co.kr/deal/26953737050')]",FC001298,"시온아트홀 (구. JK아트홀, 구. 샘아트홀) (시온아트홀(구. JK아트홀, 구. 샘아트홀))",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242005_240621_0540341.jpg']
PF241996,또봇: 대도시의 영웅들 [부천],2024.08.10,2024.08.11, , ,1시간 10분,전체 관람가,"(주)이에스생활문화 (ES생활문화), 영실업","R석 70,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF241996_240530_093601.jpg,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1164511'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24007681'), ('티켓링크', 'http://www.ticketlink.co.kr/product/50338')]",FC000122,부천시민회관 (대공연장),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241996_240530_0936010.jpg']
PF241954,두들팝 [대전],2024.08.10,2024.08.11, , ,1시간,24개월 이상, ,"전석 50,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF241954_240529_141200.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1163033'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24007307'), ('티켓링크', 'https://www.ticketlink.co.kr/product/50311')]",FC000323,대전평송청소년문화센터 (평송홀(대극장)),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241954_240529_0212020.jpg']
PF241845,인어공주 [서울 목동],2024.07.20,2024.09.01, , ,1시간,전체 관람가, ,"전석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF241845_240528_095919.jpg,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1141945'), ('인터파크', 'https://tickets.interpark.com/goods/24007073'), ('타임티켓', 'https://www.timeticket.co.kr/?number=5728')]",FC001107,한국방송회관 코바코홀 (구. 브로드홀) (한국방송회관 코바코홀 (구. 브로드홀)),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241845_240528_0959190.jpg']
PF241738,바다 100층짜리 집,2024.07.06,2024.08.15,"유소연, 박시연, 이온, 김용호, 한미래, 박명훈, 이은정 등","정용석, 박수경, 조재국 등",1시간,20개월 이상,아트큐브,"VIP석 70,000원, R석 60,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF241738_240527_100705.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1165096'), ('위메프', 'https://ticket.wemakeprice.com/product/3000012067'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24007213'), ('쿠팡', 'https://trip.coupang.com/tp/products/30000010712173'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=77946'), ('티몬', 'www.tmon.co.kr/deal/26998475530')]",FC001351,성균관대학교 새천년홀 (성균관대학교 새천년홀),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241738_240527_1007050.jpg']
PF241583,한글용사 아이야: 사라진 한글을 찾아라! [서울 (앵콜) ],2024.08.07,2024.08.25,"전정완, 조남규, 안혜란, 진하림, 서지우, 한겨레, 문승환 등","김철현, 윤성민, 정윤지 등",1시간 10분,24개월 이상,DS뮤지컬컴퍼니,"VIP석(1층) 70,000원, R석(발코니층) 60,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF241583_240523_094814.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1140803'), ('위메프', 'https://ticket.wemakeprice.com/product/3000012123'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24006337'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=77919'), ('티켓링크', 'http://www.ticketlink.co.kr/product/49916')]",FC000010,유니버설아트센터 (유니버설아트센터),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241583_240523_0948140.jpg']
PF241497,젠틀맨스 가이드: 사랑과 살인편,2024.07.06,2024.10.20,"송원근, 김범, 손우현, 정산훈, 정문성, 이규형, 안세하 등","김영욱, 이성훈, 송한샘 등",2시간 30분,만 13세 이상,(주)쇼노트,"VIP석 150,000원, OP석 130,000원, R석 130,000원, S석 90,000원, A석 60,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF241497_240522_104224.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1146704'), ('멜론티켓', 'https://ticket.melon.com/performance/index.htm?prodId=209919'), ('쇼노트', 'http://www.shownote.com/Ticket/Performance/Details?performanceId=365'), ('예스24', 'http://ticket.yes24.com/Perf/49795'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24007239'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=77982')]",FC001370,광림아트센터 (BBCH홀),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241497_240522_0352481.jpg']
PF241487,설민석의 한국사 대모험: 영웅의 시간,2024.07.27,2024.08.11,설민석 등,"김종해, 강한별",1시간 10분,전체 관람가,(주)이에스생활문화 (ES생활문화),"VIP석 54,900원, R석 49,900원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF241487_240522_100009.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1192816'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24007068')]",FC000170,코엑스 (오디토리움),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241487_240522_1000090.jpg']
PF241486,앤서니 브라운의 우리가족 [서울],2024.07.20,2024.08.25, ,"이종은, 김온",1시간,24개월 이상, ,"전석 50,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF241486_240522_095227.jpg,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1144447'), ('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1063099'), ('예스24', 'http://ticket.yes24.com/Perf/49750'), ('인터파크', 'https://tickets.interpark.com/goods/24007171'), ('타임티켓', 'https://www.timeticket.co.kr/?number=5722')]",FC001844,대원 팝콘D 스퀘어 (대원 콘텐츠 라이브),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241486_240522_0952271.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241486_240522_0952270.jpg']"
PF241421,살리에르,2024.07.11,2024.09.21,"박규원, 백인태, 유현석, 백형훈, 김준영, 황민수, 유태양 등","한승원, 김종석, 정민아 등",2시간 30분,만 11세 이상,(주)에이치제이컬쳐(HJ컬쳐),"R석 99,000원, S석 77,000원, A석 55,000원, 시야방해석 66,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF241421_240521_094104.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1144616'), ('세종문화회관', 'https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=35252&menuNo=200004'), ('예스24', 'http://ticket.yes24.com/Perf/49727'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24006932'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=77978'), ('페이북', 'https://ticket.paybooc.co.kr:447/Play/PlayDetail?playNum=70891')]",FC000020,세종문화회관 (세종M씨어터),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241421_240521_0941040.jpg']
PF241385,조선셰프 한상궁 [전주],2024.06.07,2024.09.27,"방지원, 양성령, 송광일, 김응경, 오정은, 박미나, 조은혜 등", ,1시간 10분,전체 관람가, ,"전석 20,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF241385_240520_144504.gif,"[('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24007054')]",FC001517,전주소리문화관 (놀이마당(야외마당)),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241385_240520_0245043.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241385_240520_0245042.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241385_240520_0245041.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241385_240520_0245040.jpg']"
PF241368,4월은 너의 거짓말,2024.06.28,2024.08.25,"이홍기, 윤소호, 김희재, 이봄소리, 정지소, 이재진, 김진욱 등","사카구치 리코, 엄홍현, 김지원 등",2시간 50분,만 7세 이상,(주)EMK뮤지컬컴퍼니,"OP석 150,000원, R석 150,000원, S석 110,000원, A석 70,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF241368_240520_135016.jpg,"[('멜론티켓', 'https://ticket.melon.com/performance/index.htm?prodId=209858'), ('예스24', 'http://ticket.yes24.com/Perf/49726'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24006816')]",FC000001,예술의전당 [서울] (CJ 토월극장),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241368_240701_0955321.jpg']
PF241347,"매직 판타지아, 도로시 리턴즈",2024.07.20,2024.08.25, ,"한승원, 황미주, 이진선 등",1시간 10분,24개월 이상,"(주)호텔롯데 롯데월드, EBS미디어(주), 에이치제이키즈(주)","전석 66,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF241347_240520_122339.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1143474'), ('예스24', 'http://ticket.yes24.com/Perf/49741'), ('위메프', 'https://ticket.wemakeprice.com/product/3000012091'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24007000'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=77931'), ('티몬', 'https://www.tmon.co.kr/deal/27063578030'), ('페이북', 'https://ticket.paybooc.co.kr:447/Play/PlayDetail?playNum=70898')]",FC000052,KT&G 상상마당 대치아트홀 (KT&G 상상마당 대치아트홀),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241347_240520_1223390.jpg']
PF241301,하데스타운 [서울],2024.07.12,2024.10.06,"조형균, 박강현, 김민석, 최정원, 최재림, 강홍석, 김선영 등","박소영, 한정림, 홍유선 등",2시간 35분,만 7세 이상,에스앤코(S&CO),"VIP석 170,000원, R석 140,000원, S석 110,000원, A석 80,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF241301_240517_145643.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1196774'), ('예스24', 'http://ticket.yes24.com/Perf/49701'), ('위메프', 'https://ticket.wemakeprice.com/product/3000012185'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24006851'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=77897'), ('페이북', 'https://paybooc.co.kr/app/paybooc/Culture.do?mFocus=Culture&returnURL=https://ticket.paybooc.co.kr:447/Play/PlayDetail?playNum=70886')]",FC000012,샤롯데씨어터 (샤롯데씨어터),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241301_240517_0256430.jpg']
PF241277,카르밀라,2024.06.11,2024.09.08,"유주혜, 전민지, 이서영, 이재림, 송영미, 민도희, 김서연 등","박재현, 이강욱, 황예슬 등",1시간 40분,만 13세 이상,"네버엔딩플레이(N.E.P Contents), 라이브러리컴퍼니","R석 70,000원, S석 60,000원, A석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF241277_240517_125516.gif,"[('위메프', 'https://ticket.wemakeprice.com/product/3000012065'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24006970'), ('코스타(Coaster)', 'https://ticket.co-star.kr/shop/item.php?it_id=1717579884')]",FC001528,링크아트센터드림 (드림 1관),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241277_240517_1255161.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241277_240517_1255160.jpg']"
PF241120,"베베핀, 우당탕탕 패밀리 [과천]",2024.07.13,2024.08.25, ,"정을석, 양길모, 안진성 등",1시간 05분,12개월 이상,(주)애드칸,"전석 66,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF241120_240516_110408.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1132973'), ('위메프', 'https://ticket.wemakeprice.com/product/3000012083'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24006568'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=77898')]",FC000240,국립과천과학관 (어울림홀),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241120_240516_1104080.jpg']
PF241050,등등곡,2024.06.11,2024.08.11,"김재범, 유승현, 김지철, 김바다, 정재환, 안지환, 강찬 등","김지식, 정혜지, 성종완 등",1시간 40분,만 13세 이상,(주)나인스토리,"R석 70,000원, S석 50,000원, A석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF241050_240514_112043.gif,"[('예스24', 'http://ticket.yes24.com/Perf/49696'), ('위메프', 'https://ticket.wemakeprice.com/product/3000012023'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24006746')]",FC000382,티오엠씨어터(구. 문화공간필링) (1관),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF241050_240514_1120430.jpg']
PF240973,어쩌면 해피엔딩 [대학로],2024.06.18,2024.09.08,"정욱진, 홍지희, 윤은오, 박진주, 신재범, 장민제, 이시안 등","김동연, 주소연, 송희진 등",1시간 50분,만 13세 이상,(주)CJ ENM,"R석 77,000원, S석 55,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF240973_240513_151357.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1174706'), ('예스24', 'http://ticket.yes24.com/Perf/49543'), ('위메프', 'https://ticket.wemakeprice.com/product/3000012040'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24006741')]",FC001236,예스24 스테이지(구. DCF대명문화공장) (1관),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF240973_240513_0313570.jpg']
PF240797,빨래 [대학로],2024.06.07,2024.12.29,"서은지, 김도원, 노희찬, 강기헌, 류석호, 최정화, 조영임 등","최세연, 추민주, 민찬홍 등",2시간 45분,만 13세 이상,(주)씨에이치수박,"R석 77,000원, S석 55,000원, 시야제한석 20,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF240797_240510_101623.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/127914'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24006709')]",FC001233,유니플렉스 (2관(중극장)),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF240797_240510_1016230.jpg']
PF240789,이블데드,2024.06.20,2024.09.01,"장지후, 기세중, 배나라, 안상은, 서동진, 조권, 송나영 등","신동은, 오루피나, 원미솔 등",2시간 20분,만 16세 이상,(주)랑,"블러드밤석 88,000원, 빨강석 88,000원, 주황석 80,000원, 노랑석 77,000원, 초록석 66,000원, 파랑석 55,000원, 남석 33,000원, 보라석 22,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF240789_240510_095856.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1135277'), ('예스24', 'http://ticket.yes24.com/Perf/49544'), ('위메프', 'https://ticket.wemakeprice.com/product/3000012061'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24006677'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=77947')]",FC001233,유니플렉스 (1관(대극장)),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF240789_240510_0958560.jpg']
PF240716,메노포즈,2024.06.13,2024.08.25,"조혜련, 김현숙, 신봉선, 문희경, 서지오, 이아현, 류수화 등","이윤표, 이나영, 박은영 등",1시간 50분,만 15세 이상,(주)엠피앤컴퍼니,"VIP석 120,000원, R석 100,000원, S석 80,000원, A석 60,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF240716_240509_100403.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1135263'), ('예스24', 'http://ticket.yes24.com/Perf/49640'), ('위메프', 'https://ticket.wemakeprice.com/product/3000011977'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24006465'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=77927'), ('티몬', 'https://www.tmon.co.kr/deal/26846081210')]",FC000113,한전아트센터 (한전아트센터),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF240716_240509_1004030.jpg']
PF240693,프리즌 [대전 평송],2024.07.16,2024.11.28, , ,1시간 20분,만 7세 이상, ,"R석 20,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF240693_240508_154159.jpg,"[('대전문화재단', 'https://아트키움.kr/user/performance/detail?performanceSN=820')]",FC000323,대전평송청소년문화센터 (평송홀(대극장)),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF240693_240508_0341593.png', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF240693_240508_0341592.png', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF240693_240508_0341591.png', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF240693_240508_0341590.png']"
PF240597,클럽 드바이,2024.06.11,2024.09.01,"변희상, 황민수, 유태율, 이종석, 박좌헌, 신주협, 이지연 등","이재준, 윤지율, 박정아 등",1시간 30분,만 13세 이상,(주)스튜디오 단단,"R석 66,000원, S석 44,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF240597_240507_152605.gif,"[('예스24', 'http://ticket.yes24.com/Perf/49632'), ('위메프', 'https://ticket.wemakeprice.com/product/3000012045'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24006515')]",FC001236,예스24 스테이지(구. DCF대명문화공장) (2관),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF240597_240514_0356441.jpg']
