PRFID,PRFNM,PRFPDFROM,PRFPDTO,PRFCAST,PRFCREW,PRFRUNTIME,PRFAGE,ENTRPSNM,PCSEGUIDANCE,POSTER,RELATES,PLACEID,PLACENM,INFO URLS
PF243766,빨간모자소녀와 늑대 [천안],2024.07.27,2024.08.10, , ,45분,24개월 이상, ,"전석 20,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243766_240626_101107.png,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1182644')]",FC002054,홈플러스 [천안신방점] (홈플러스 [천안신방점]),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243766_240626_1011070.png']
PF243763,비밀의 화원,2024.08.01,2024.09.22,"김청아, 이금조, 김서환, 정백선, 박선영, 김지혜, 송영미 등","이기쁨, 이성준, 강하님 등",1시간 40분,만 7세 이상,(재)국립정동극장,"전석 70,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243763_240626_100120.gif,"[('BC페이북(BC플랫폼)', 'https://ticket.paybooc.co.kr:447/Play/PlayDetail?playNum=70924'), ('나눔티켓', 'https://www.nanumticket.or.kr/pe/detail.html?p_marking=&p_new=&start2=0&page_no2=1&p_idx=12397'), ('위메프', 'https://ticket.wemakeprice.com/product/3000012154'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008917'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=77960'), ('코스타', 'https://ticket.co-star.kr/shop/item.php?it_id=1719477556')]",FC000006,국립정동극장 (국립정동극장),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243763_240626_1001210.jpg']
PF243627,스파이,2024.08.06,2024.10.27,"성태준, 정동화, 원태민, 현석준, 이진우, 최병찬, 강정임 등","라현아, 박신혜, 한지안 등",2시간,만 13세 이상,미스틱컬처,"한줄기의빛석 70,000원, 스파이더맨인블랙석 60,000원, 로마의대체휴일석 50,000원, 미션임파서블드림석 40,000원, 티파니에서야참을석 30,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243627_240624_142345.gif,"[('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24009007')]",FC000570,동국대학교 (이해랑예술극장),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243627_240624_0223451.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243627_240624_0223450.jpg']"
PF243616,유명 뮤지컬 베스트 11작품 뮤지컬 갈라쇼 [세종],2024.08.10,2024.08.10,"하은섬, 구백산, 황성빈, 이도하, 이수영, 고수민","조영태, 구백산, 하은섬",1시간 10분,만 5세 이상, ,"전석 25,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243616_240624_140115.gif,"[('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008751')]",FC002305,비오케이아트센터(BOK아트센터) (다목적공연장),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243616_240624_0201150.jpg']
PF243476,"예수 그리스도, 더바이블 Ⅱ",2024.08.10,2024.08.11,"권성찬, 김경한, 김다인, 김예지, 백승철, 신예린, 신예은 등","최민환, 고미경, 최현주 등",2시간 35분,만 5세 이상,더블레싱 프로덕션,"전석 50,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243476_240621_103139.gif,"[('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008605')]",FC002299,숭실대학교 한경직기념관 (대강당),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243476_240621_1031392.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243476_240621_1031391.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243476_240621_1031390.jpg']"
PF243362,접변 [대학로],2024.07.20,2024.09.22,"임찬민, 송지온, 정우연, 양서윤, 전해주, 전하영, 윤정섭 등","이기쁨, 한곤, 최종혁 등",1시간 40분,만 13세 이상,"네버엔딩플레이(N.E.P Contents), 포커스테이지","R석 66,000원, S석 55,000원, A석 44,000원, 시야제한석 20,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243362_240620_093509.gif,"[('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008373')]",FC000382,티오엠씨어터(구. 문화공간필링) (2관),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243362_240620_0935090.jpg']
PF243342,트루스토리 [대학로],2024.07.09,2024.08.11,"이승현, 이승준, 박경호, 조성필, 이동연, 이세헌, 김채승 등","김운기, 이희준, 이아람 등",1시간 40분,만 12세 이상, ,"전석 66,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243342_240619_142000.png,"[('티켓링크', 'http://www.ticketlink.co.kr/product/50618')]",FC001212,예그린씨어터 (예그린씨어터),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243342_240619_0220001.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243342_240619_0220000.jpg']"
PF243273,"종로 가족공연축제, 달님이 주신 아이",2024.08.09,2024.08.17,"이새롬, 강나리, 박하나, 서인권, 박상연","민찬홍, 홍성연, 한승훈 등",1시간,36개월 이상,창작꿈터 놀이공장,"전석 20,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243273_240619_094001.gif,"[('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008446')]",FC001435,종로아이들극장 (종로아이들극장),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243273_240619_0940013.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243273_240619_0940012.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243273_240619_0940011.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243273_240619_0940010.jpg']"
PF243215,알라딘 [인천],2024.07.27,2024.08.15, , ,55분,전체 관람가, ,"전석 22,900원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243215_240618_103526.png,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1177716')]",FC001927,아띠홀 (아띠홀),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243215_240619_0859201.jpeg']
PF243193,라푼젤 [검단],2024.08.10,2024.08.10, , ,55분,전체 관람가, ,"전석 22,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243193_240618_093126.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1177801'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008496')]",FC000310,검단복지회관 (공연장(대강당)),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243193_240618_0931260.jpg']
